category,stage,reason,count,unit,denominator,pct_of_denominator,fields_responsible,evidence_basis,examples_sanitized,notes
tgtc_business_rule,classification (job level),people_management,165,postings,4300,3.8%,description_text,job text (direct reports / supervisory language),"Assistant General Manager-Trussville @ Taziki's Mediterranean Cafe: ""Supervising and mentoring your staff members and managing quality crew development, motivation, training and evaluations"" || Engineering Lead, Financial Systems @ Monk: ""Own Monk's Financial Systems end-to-end: technical direction, architecture, delivery, quality, and lead a team of engine"" || Full-Time Sous Chef @ Forefront: ""Supervise dietary staff in the absence of the Dietary Manager"" || Peer Support Program Manager @ Foundation for Recovery: ""This position provides direct peer support, supervises peer staff and interns, manages program operations and grant repo"" || Assistant General Manager- Hays Farm @ Taziki's Mediterranean Cafe: ""Supervising and mentoring your staff members and managing quality crew development, motivation, training and evaluations""",
tgtc_business_rule,classification (job level),deliverability:security_clearance,112,postings,4300,2.6%,description_text,job text,"Senior Helpdesk Specialist @ Chenega MIOS SBU: ""merly 8570.01-M) IAT Level I: A+ CE, CCNA-Security, CND, Network+ CE, SSCP, within 6 months of hire TS/SCI clearance Suc"" || Principal Tooling Engineer @ Northrop Grumman: ""tallic, coatings application, and/or production manufacturing operations This position requires the ability to obtain an"" || Data Visualization Designer (Communications Specialist) @ StratasCorp Technologies: ""Active secret clearance is required."" || Mechanical Engineer - Level 3 or Level 4 @ Northrop Grumman: ""f GD&T in accordance with ASME Y14.5 standard Must be able and willing to obtain and maintain a DoD Top Secret/SCI clear"" || QA Automation Engineer @ Sundayy: ""Citizenship with the ability to obtain and maintain a Public Trust or higher security clearance Responsibilities Design,""",
tgtc_business_rule,classification (job level),employment:temporary,60,postings,4300,1.4%,description_text or ai_employment_type,job text / provider label,"Cafeteria Helper - Hawaii School for the Deaf and Blind @ Hawaiʻi State Department of Education: ""Temporary Assignment: Claims of Temporary Assignment (TA) experience to meet the minimum qualification requirements must"" || Account Clerk II - Kapiolani Elementary @ Hawaiʻi State Department of Education: ""Temporary Assignment: Claims of Temporary Assignment (TA) experience to meet the minimum qualification requirements must"" || General Labor – Packaging, Racking & Shipping @ Apogee Architectural Metals: ""Apogee Architectural Metals General Labor – Packaging, Racking & Shipping Summer Jobs Temp-to-Hire Full-Time Opportuniti"" || Electrical & Controls Panel Assembly Technician @ BITZER US: ""Reports To: Panel Shop Supervisor Status: Temporary Position up to 8 weeks Duties & Tasks Mandatory overtime may be requ"" || Become a Ski or Snowboard Instructor In The USA! Guaranteed Job Offer! @ EA Ski and Snowboard Training: ""provider employment_type=['TEMPORARY']; raw_employment_type='{TEMPORARY}'""",
tgtc_business_rule,classification (job level),deliverability:travel,53,postings,4300,1.2%,description_text,job text (travel >= 20%),"Records Analyst @ Access Sciences: ""work on-site in Baton Rouge Able to work at client sites as required Ability to lift a 40-pound box Travel up to 25% Hea"" || Director / Senior Director, Business Development - Mid Market, Europe @ Biorce: ""Willingness to travel up to 50% across Europe and internationally for client engagements, industry events, and company o"" || Traveling Foreman @ Level 10, LLC: ""understanding of network hardware, cabling standards, and construction/jobsite workflows Ability to travel up to 90% bas"" || Civil Engineer @ Salas O'Brien: ""Travel Up to 25%."" || Senior Property Manager @ MRK Property Management LLC: ""ty to establish relationships across the organization and at various hierarchical levels Ability to travel up to 25% of """,
tgtc_business_rule,classification (job level),semantic_evidence:physical_work,50,postings,4300,1.2%,description_text,model claim corroborated by job text,,
tgtc_business_rule,classification (job level),employment:internship,49,postings,4300,1.1%,ai_employment_type (provider) or description_text,provider label or job text,"Material Handler I (Sit Down Forklift) 12-Hour Days (7am-7pm) @ ProAmpac: ""provider employment_type=['INTERN']; raw_employment_type='{INTERN}'"" || Livestock Intern @ Wholestone Farms Cooperative Inc: ""provider employment_type=['INTERN']; raw_employment_type='{Intern}'"" || FSQA Intern @ Wholestone Farms Cooperative Inc: ""Summary This is a paid internship at one of two plants located in either Freemont, NE or Eagle Grove, IA."" || Getty Post-Baccalaureate Conservation Internships @ Collections That Care: ""provider employment_type=['INTERN']; raw_employment_type='{INTERN}'"" || Mechanical Lab Technician (MA) @ U.S. Tsubaki Automotive: ""provider employment_type=['INTERN']; raw_employment_type='{INTERN}'""",
tgtc_business_rule,classification (job level),agency:staffing_text,26,postings,4300,0.6%,description_text,job text pattern,"Assistant Security Supervisor - Building Complex @ DK Security: ""The daily duties of this position are determined by the client and may vary depending upon the needs of the site / clien"" || Physical Therapist Home Health Downtown Denver CO @ Alpine Therapy Services, LLC: ""($70-$125/visit) Who We are: Alpine Therapy Services is a staffing company that provides quality care to all patients, a"" || Construction Project Manager - Commercial GC @ James G. Davis Construction (DAVIS): ""Our client, DAVIS Construction, is seeking an experienced Project Manager to support and lead the execution of commercia"" || Oracle Cloud CX/Eloqua Lead Consultant @ Datavail: ""The Enterprise Applications Cloud ERP practice specializes on Oracle technology and supports our client’s full-life cycl"" || Remote Entry-Level Sales (No Experience Needed, Will Train, Flexible Schedule) @ Anderson Agency LLC: ""We are looking for qualified professionals that can consult with our clients to determine what is in the client’s best i""",
tgtc_business_rule,classification (job level),deliverability:field_work,23,postings,4300,0.5%,description_text,job text ('field-based'),"Registered Nurse, RN - Hospice - PRN @ VitalCaring Group: ""VitalCaring – Deliver Care That Brings Comfort and Dignity Registered Nurse (RN) – Hospice Field-Based | Patient & Famil"" || Territory Manager @ Snap Diagnostics: ""Role Description This is a full-time field based role for Akron, OH."" || Graduate Engineer II - Land Development @ Quiddity: ""May require field-based activities like coordination with construction services, inspections, and/or reviewing sites wit"" || Geotechnical Engineer @ Cochran: ""This is primarily a field-based position with some office responsibilities related to reporting, data management, and pr"" || Assistant / Associate / Professor of Elementary Education @ Ball State University: ""This position offers opportunities to teach and mentor undergraduate and graduate students, supervise candidates in fiel""",
tgtc_business_rule,classification (job level),semantic,22,postings,4300,0.5%,description_text,older model free-text reason (policy v1),Patient Registrar @ HCA Healthcare || Medical Laboratory Technician Nights @ HCA Houston Healthcare || Pharmacy Technician @ Reston Hospital,"Older free-text model reasons from policy v1, still in force"
tgtc_business_rule,classification (job level),program:internship,12,postings,4300,0.3%,title / description_text,job title,,
tgtc_business_rule,classification (job level),employment:fixed_term,8,postings,4300,0.2%,description_text,job text,"Professor Term (Open Rank) and Division Chief - Endocrinology, Metabolism & Diab @ University of Louisville: ""of Medicine Location: Health Sciences Center Time Type: Full time Worker Type: Regular Term (Fixed Term) Job Req ID: R10"" || Manager of Franchise Sales @ Create A Shift: ""Contract Terms & Compensation 12-month contract, Full Time, 1099 independent contractor"" || Content Creator @ VaynerX: ""This means that VaynerMedia provides equal employment opportunities to all staff members and job applicants without rega"" || Professor Term (Open Rank) @ University of Louisville: ""artment: Pathology Location: Health Sciences Center Time Type: Full time Worker Type: Regular Term (Fixed Term) Job Req "" || Vacancy: MRI Research Radiographer at University of Edinburgh @ SINAPSE - Scottish Imaging Network: ""This Full Time post is fixed term for 3 years in the first instance with the expectation that it will continue long term""",
tgtc_business_rule,classification (job level),deliverability:professional_license,8,postings,4300,0.2%,description_text,job text,"Physician Assistant @ Peachtree Orthopaedic Clinic: ""Certificates, Licenses, Registrations * Current Georgia Physician Assistant License required."" || Project Architect II @ Galloway & Company, LLC: ""Bachelor and/or Master of Architecture 5+ years of relevant experience in the field of Architecture Licensure is require"" || Commercial Construction Laborer @ Kelley Construction, Inc.: ""Valid drivers license required."" || Senior Accountant @ ECS Financial Services LTD: ""Job Requirements: Active CPA license required."" || Electrical Engineer @ HED: ""licensure required.""",
tgtc_business_rule,classification (job level),semantic_evidence:clinical_care,6,postings,4300,0.1%,description_text,model claim corroborated by job text,,
tgtc_business_rule,classification (job level),program:co_op,5,postings,4300,0.1%,title,job title,,
provider_data_quality,classification (job level),insufficient_evidence:description_too_short,4,postings,4300,0.1%,description_text (< 120 chars),provider field content,,
tgtc_business_rule,classification (job level),employment:other,4,postings,4300,0.1%,ai_employment_type = OTHER,provider label,,
tgtc_business_rule,classification (job level),employment:volunteer,4,postings,4300,0.1%,ai_employment_type = VOLUNTEER,provider label,,
tgtc_business_rule,classification (job level),program:apprenticeship,3,postings,4300,0.1%,title,job title,,
tgtc_business_rule,classification (job level),semantic_evidence:substantial_travel,3,postings,4300,0.1%,description_text,model claim corroborated by job text,,
tgtc_business_rule,classification (job level),employment:unpaid,2,postings,4300,0.0%,description_text (commission-only / equity-only / unpaid),job text,"Independent Water Treatment Dealer — Commission-Based Sales @ AquaSource Hawaii: ""AquaSource Hawaii · Serving Oʻahu, Maui & Hawaiʻi Island The honest version first: this is commission-only field sales."" || Vice President of Sales – Quantum Cybersecurity @ Qtonic Quantum Corp.: ""Commission-only to start.""",
tgtc_business_rule,classification (job level),people_management:model_reported,2,postings,4300,0.0%,description_text,model,,
tgtc_business_rule,classification (job level),employment:freelance,2,postings,4300,0.0%,description_text,job text,"Freelance Designer – Men’s & Kids’ Private Label @ Li & Fung: ""Here is what you need to know about the job: ​ Position Overview We are seeking a Freelance Designer to support the desi""",
tgtc_business_rule,classification (job level),active:non_active_posting,1,postings,4300,0.0%,description_text (talent pipeline / future openings),job text,"Document Specialist Entry Level @ Percheron, LLC: ""Please note that this posting is part of our ongoing talent pipeline for future opportunities.""",
tgtc_business_rule,classification (job level),agency:service_model_in_employer_name,1,postings,4300,0.0%,organization,company name,"Learning and Development Manager @ Shepherd Outsourcing, LLC: ""shepherd outsourcing llc""",
tgtc_business_rule,classification (job level),agency:known_intermediary_employer,1,postings,4300,0.0%,organization,company name,,
tgtc_business_rule,classification (job level),employment:seasonal,1,postings,4300,0.0%,description_text,job text,"Unarmed Security Officer @ TriCorps: ""nce, Vision Insurance, Paid Vacation This job reports to the Regional Manager This is a Temporary / Seasonal position 1s""",
tgtc_business_rule,classification (job level),government:public_sector_title,1,postings,4300,0.0%,title,job title,"Senior Manager, U.S. Federal Government Relations Advocacy @ Intuit: ""Senior Manager, U.S. Federal Government Relations Advocacy""",
passed,classification (job level),PASSED job-level qualification (classified to a TGTC function),1105,postings,4300,25.7%,description_text,rules + classifier,,Passing jobs then need a company check and a verified contact before approval
tgtc_business_rule,company_qualification,employer_too_large,91,opportunities (employer x function),969,9.4%,org_linkedin_headcount (or Apollo employee estimate),company data,"First Mid Bank & Trust (1020 employees, band '501-1,000 employees') || First Mid Bank & Trust (1020 employees, band '501-1,000 employees') || Humanscale (1052 employees, band '1,001-5,000 employees') || AWC, Inc. (1135 employees, band '501-1,000 employees') || Haddad Brands (1138 employees, band '1,001-5,000 employees')",
tgtc_contact_stage,contact_discovery,no_candidates_found,78,opportunities (employer x function),969,8.0%,Apollo people search / enrichment (not Fantastic data),TGTC internal,examples omitted (contact stage),
tgtc_configuration,approval,approval_refused:no_campaign_configured,77,opportunities (employer x function),969,7.9%,TGTC outbound campaign configuration,TGTC internal,,
tgtc_contact_stage,contact_discovery,no_usable_candidates_in_search,62,opportunities (employer x function),969,6.4%,Apollo people search / enrichment (not Fantastic data),TGTC internal,examples omitted (contact stage),
tgtc_business_rule,company_qualification,employer_too_small,50,opportunities (employer x function),969,5.2%,org_linkedin_headcount (or Apollo employee estimate),company data,"Apple SEO (1 employees, band '2-10 employees') || Knoxville Technology Council (1 employees, band '1 employee') || DataBriefs (1 employees, band '2-10 employees') || Apple SEO (1 employees, band '2-10 employees') || Alegria Travel Services (1 employees, band '1 employee')",
tgtc_contact_stage,contact_discovery,no_verified_buyer_in_candidates,24,opportunities (employer x function),969,2.5%,Apollo people search / enrichment (not Fantastic data),TGTC internal,examples omitted (contact stage),
tgtc_contact_stage,contact_discovery,no_verified_buyer_after_max_attempts:epoch_1,10,opportunities (employer x function),969,1.0%,Apollo people search / enrichment (not Fantastic data),TGTC internal,examples omitted (contact stage),
tgtc_contact_stage,contact_discovery,no_unjudged_candidates_remaining,4,opportunities (employer x function),969,0.4%,Apollo people search / enrichment (not Fantastic data),TGTC internal,examples omitted (contact stage),
tgtc_business_rule,company_qualification,employer_excluded_industry:hospitals and health care,3,opportunities (employer x function),969,0.3%,org_linkedin_industry (or Apollo industry),company data,HCA Healthcare,
tgtc_business_rule,company_qualification,employer_excluded_industry:internet news,1,opportunities (employer x function),969,0.1%,org_linkedin_industry (or Apollo industry),company data,,
tgtc_configuration,approval,waiting: configuration_pending:no_campaign_configured,482,opportunities (employer x function),969,49.7%,TGTC outbound campaign configuration,TGTC internal,,Open opportunities blocked on a TGTC-side setting; unrelated to Fantastic data
